created_at,full_text
2021-06-30 16:51:39+00:00,"Last year, the Board of Elections sent erroneous ballots to nearly 100,000 New Yorkers seeking to vote by mail, a massive glitch that raised doubts about the city’s ability to handle the millions of mail-in ballots expected in the presidential election. https://t.co/JAuAmEDdlA"
2021-06-30 16:16:18+00:00,"We charted how instigators set off a wave of violence that engulfed the building, and how failures by police leaders put rank-and-file officers in danger, allowing a frenzy to take hold.

For more, watch the full investigation here: https://t.co/hD7pVk90u9"
2021-06-30 16:16:07+00:00,"A common thread throughout our investigation was how rioters echoed Donald Trump’s rhetoric throughout the day. His tweets made Mike Pence a target of the mob, and his call to march on the Capitol was viewed by many as an act of sending reinforcements. https://t.co/zoI8XSc1Qe"
2021-06-30 16:15:35+00:00,"Our investigation revealed at least eight locations where rioters breached the Capitol, more than previously identified.

In some, police battled rioters before being forcibly overwhelmed. In others, officers stepped aside. https://t.co/eF9TC4KQYJ"
2021-06-30 13:40:02+00:00,"The House is expected to vote to create a select committee to investigate the Capitol riot. The plan, devised by Speaker Nancy Pelosi, comes after Republicans blocked the creation of an independent panel to scrutinize the assault.
https://t.co/npv0jga688"
2021-06-30 13:35:06+00:00,"President Biden will meet with leaders of Western states to discuss how to minimize weather-related disasters this summer. The virtual meeting comes as the region experiences a record-breaking heat wave and a drought-fueled wildfire season.
https://t.co/oVfGAPCeth"
2021-06-30 12:10:04+00:00,"At least half of the 135 units of the Champlain Towers South in Surfside, Florida, collapsed into rubble last week.

See the apartment locations of the victims and those still missing.
https://t.co/vQ0NykAYZ6"
2021-06-30 12:00:27+00:00,The House voted to remove statues of Confederate and other white supremacist leaders from public display at the U.S. Capitol. The legislation will now go to the Senate. https://t.co/ZoF4pEmc4O
2021-06-30 11:40:06+00:00,"Rep. James Clyburn, Democrat of South Carolina and the highest-ranking Black member of Congress, took a rare step into a party primary on Tuesday to endorse the leading opponent of Nina Turner, who is an outspoken ally of Sen. Bernie Sanders. https://t.co/Lahejo8vhd"
2021-06-30 06:00:16+00:00,The House voted to remove statues of Confederate and other white supremacist leaders from public display at the U.S. Capitol. The legislation will now go to the Senate. https://t.co/uVLayxoTyA
2021-06-30 05:20:05+00:00,"If the U.S. and its allies can strike a deal for Turkey to keep forces in place to secure the civilian airport known as Kabul International, President Biden can go ahead with his plan to maintain the American Embassy in Afghanistan even after troops depart.https://t.co/la4Ow56kyD"
2021-06-30 21:06:02+00:00,"Arkansas becomes latest state to send troops to southern border amid migrant surge
https://t.co/c04LRlgYty"
2021-06-30 19:30:40+00:00,"BREAKING NEWS: Donald Rumsfeld, former defense secretary at helm of 2 wars, dead at 88
https://t.co/zzEFF5PoTe"
2021-06-30 16:28:32+00:00,"Republican senators alarmed by Biden nominee's ties to 'anti-Israel' group
https://t.co/MIQehg3Z0S"
2021-06-30 10:25:30+00:00,"Statue of Liberty's 'little sister' arrives in United States from France in time for Fourth of July

https://t.co/P4vernDegp"
2021-06-30 00:51:20+00:00,"House votes to remove Confederate busts and statues from the Capitol 
https://t.co/EmGI9tbdJY"
2021-06-30 23:47:01+00:00,"House votes to establish a select committee to investigate the Jan. 6 attack at the US Capitol, the only step needed to formalize the panel's creation.

Rep. Kinzinger and Rep. Cheney were the only Republicans to vote in favor of the committee.
https://t.co/t9pX5xXMmw"
2021-06-30 23:36:08+00:00,RT @NBCNightlyNews: Bill Cosby has been released from prison after his conviction was overturned. @StephGosk reports the latest from Pennsy…
2021-06-30 19:56:04+00:00,"JUST IN: House votes to establish a select committee to investigate the Jan. 6 attack at the US Capitol, the only step needed to formalize the panel's creation.

Rep. Kinzinger and Rep. Cheney were the only Republicans to vote in favor of the committee.
https://t.co/kZAFbALYIh"
2021-06-30 19:48:25+00:00,"Bill Cosby returns home after being released from prison after Pennsylvania's Supreme Court overturned his sexual assault conviction. 

Latest: https://t.co/TiwrZa69gP https://t.co/msFQLf0CT6"
2021-06-30 19:44:52+00:00,"BREAKING: Donald Rumsfeld, who served twice as the US defense secretary under 2 presidents and oversaw the wars in Afghanistan and Iraq after 9/11, has died at age 88, his family says. https://t.co/roIqZHDQaj"
2021-06-30 19:42:02+00:00,Sen. Murphy says bipartisan infrastructure deal struck by lawmakers and President Biden may not have enough support — including from fellow Democrats. https://t.co/jlwussrWIo
2021-06-30 16:59:24+00:00,BREAKING: Bill Cosby to be released after sexual assault conviction overturned by Pennsylvania Supreme Court. https://t.co/eIedbaYVK3
2021-06-30 10:14:01+00:00,"WATCH: Protesters pull down a statue of Christopher Columbus in Barranquilla, Colombia, amid nationwide anti-government demonstrations. https://t.co/sSAgIro09f"
2021-06-30 09:02:07+00:00,"A ""discrepancy"" in tabulation of the early results in NYC's ranked-choice Democratic mayoral primary has thrown the race into uncertainty, prompting the city's Board of Elections to remove preliminary numbers from its website hours after posting them. https://t.co/3T1YJqpAwQ"
2021-06-30 04:32:02+00:00,"Opinion | Mayor Libby Schaaf and Mayor John Giles: ""Housing affordability was a crisis even before the pandemic. We are mayors from different parties, but we both agree that resources for housing are an investment, not a cost."" - @NBCNewsTHINK https://t.co/bHAjMtvyr7"
2021-06-30 02:55:03+00:00,"A ""discrepancy"" in tabulation of the early results in NYC's ranked-choice Democratic mayoral primary has thrown the race into uncertainty, prompting the city's Board of Elections to remove preliminary numbers from its website hours after posting them. https://t.co/T0D69Zroud"
2021-06-30 01:47:01+00:00,"In the preliminary ranked-choice results of New York City’s mayoral election, Brooklyn Borough president Eric Adams and former Sanitation Commissioner Kathryn Garcia emerge as the top Democratic candidates, with Adams edging slightly ahead. https://t.co/fAFGLrziPB"
2021-06-30 21:45:03+00:00,"Dire fire warnings issued in wake of record heatwave in Canada, U.S. https://t.co/Y23Zlc2RMv"
